frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.000540011,0.046375874,0.041679434,0.050624363,0.053477187,0.012573193,0.026840331,0.14296794
1,0.0,0.034587495,0.012540349,0.04379574,0.0036661748,0.006318632,0.029638687,0.098250784
2,0.13740884,0.052345674,0.012481795,0.012411224,0.003860792,0.029520575,0.006786641,0.032980636
3,0.20802937,0.3495006,0.18199112,0.21317852,0.22922215,0.3505354,0.06420102,0.2246578
4,0.21102604,0.29736057,0.2002047,0.14995056,0.21568859,0.24337244,0.06774237,0.3956256
5,0.05843195,0.15870129,0.048909087,0.16268064,0.038484175,0.025926258,0.03883067,0.14410533
6,0.2680171,0.246741,0.22703397,0.21759647,0.12892023,0.27627698,0.28912634,0.38942042
7,0.28470123,0.339724,0.19084786,0.4351563,0.28428137,0.4571453,0.1677531,0.4288591
8,0.46874347,0.4054761,0.43596888,0.3068354,0.43362823,0.5659414,0.4086748,0.35239378
9,0.2311605,0.22696254,0.42546174,0.26616648,0.2794785,0.356175,0.29643103,0.32539624
10,0.39137873,0.204786,0.389042,0.25145897,0.4311167,0.29050085,0.16846436,0.40440628
11,0.3493801,0.20025454,0.45245692,0.41558608,0.38079402,0.4087215,0.33634144,0.4745216
12,0.1467266,0.032482363,0.088016786,0.03818074,0.09096062,0.09841263,0.0631133,0.120388575
13,0.16709237,0.036916375,0.12406422,0.07497854,0.12383616,0.15983032,0.06748594,0.18159473
14,0.17442334,0.085501716,0.09825249,0.1275707,0.18221362,0.100569785,0.18481813,0.10927979
15,0.33970258,0.20206812,0.47748604,0.7481181,0.45553464,0.34108752,0.4215138,0.49239546
16,0.48049492,0.3363309,0.6057134,0.5714177,0.4535214,0.63239765,0.45620608,0.45601898
17,0.56247824,0.1584978,0.14104103,0.14815398,0.11684267,0.14045756,0.14113791,0.14548293
18,0.40919462,0.47649702,0.09125202,0.14919901,0.081860535,0.12028974,0.09483523,0.17331539
19,0.1762196,0.17262162,0.21530828,0.20385048,0.16655284,0.18447284,0.08247092,0.1264249
20,0.14003378,0.06317396,0.12264488,0.16924617,0.039052032,0.12421233,0.03443689,0.014629199
21,0.55867606,0.38026366,0.2348726,0.41929805,0.17192042,0.37182423,0.15551741,0.2976758
22,0.59808314,0.4296169,0.2145338,0.36908135,0.3461043,0.42024434,0.4128151,0.6743852
23,0.3760885,0.5211054,0.36450526,0.339776,0.5514718,0.4634658,0.63348013,0.46811467
24,0.6326237,0.30149984,0.38884565,0.4383248,0.3560218,0.5101507,0.5219872,0.3579948
25,0.54162496,0.14526333,0.2553202,0.41339543,0.20726793,0.39762518,0.31429666,0.06818105
26,0.119886786,0.08844719,0.21103442,0.14289626,0.037562974,0.25690398,0.061632846,0.13755517
27,0.19408968,0.62556237,0.06317385,0.14414111,0.06886126,0.09597957,0.07663119,0.023258155
28,0.09269517,0.1564569,0.19270344,0.14619923,0.021018611,0.09808372,0.032336395,0.08430175
29,0.43315506,0.84650093,0.15951623,0.31895137,0.16440453,0.27568683,0.25537196,0.17217827
30,0.46518248,0.29616645,0.35874563,0.4974115,0.47870135,0.5675413,0.34023198,0.23672357
31,0.32038414,0.3401195,0.22911634,0.34375784,0.3603979,0.42010462,0.5269736,0.20604204
32,0.40247947,0.1585438,0.1042781,0.22301553,0.08673044,0.24057078,0.1717287,0.059520207
33,0.20098452,0.048984725,0.10484052,0.24514125,0.13777663,0.11190463,0.05286076,0.14696896
34,0.1834478,0.096091926,0.09102785,0.21568897,0.036748298,0.2116834,0.035693202,0.100624286
35,0.036520854,0.14709963,0.05218176,0.12961438,0.03813035,0.16113214,0.032098122,0.04553134
36,0.2096652,0.5013564,0.4543657,0.31143737,0.47851238,0.4540353,0.33480647,0.37584245
37,0.10127271,0.15417574,0.21201402,0.20280571,0.28179204,0.9999999,0.1384938,0.23070413
38,0.37443537,0.34445515,0.37938404,0.5161634,0.41968933,0.4788957,0.21206322,0.45941693
39,0.33752254,0.13436669,0.085494705,0.17953037,0.09724968,0.24585915,0.11696184,0.094612464
40,0.4487616,0.27144423,0.14417075,0.34975657,0.24133185,0.24203576,0.13979709,0.45011866
41,0.4552273,0.0827901,0.24316798,0.17619976,0.21469526,0.25137997,0.0752098,0.37452263
42,0.081192076,0.014320553,0.028658206,0.08262487,0.029899392,0.1652951,0.057539865,0.0977474
43,0.18819463,0.1428812,0.16611634,0.3078752,0.15077306,0.23361732,0.1334796,0.25847363
44,0.33506525,0.26771423,0.23741956,0.4139194,0.57024527,0.4300385,0.44894415,0.33971617
45,0.38144195,0.34646335,0.36167485,0.50890964,0.5145019,0.5775806,0.368888,0.35193786
46,0.055439565,0.12066078,0.07227967,0.14887026,0.06472995,0.089695916,0.10144889,0.10356537
47,0.26322636,0.12654665,0.11727374,0.27826682,0.22626176,0.4166485,0.16520078,0.17383212
48,0.12502043,0.07826421,0.18754737,0.22432809,0.1626166,0.24531604,0.09594581,0.2232382
49,0.048473384,0.0034507508,0.068540186,0.08354463,0.08465452,0.030127682,0.03939518,0.066466786
50,0.15732026,0.019681066,0.07275657,0.14789586,0.09105665,0.06613844,0.085717976,0.095491186
51,0.3678194,0.1801244,0.557686,0.6867255,0.26749685,0.23970518,0.15035647,0.4333634
52,0.3158891,0.3429124,0.42846715,0.74903274,0.5933974,0.36200276,0.58831275,0.53831774
53,0.35202947,0.42449927,0.28978834,0.4482579,0.23945992,0.5889342,0.25327468,0.55378157
54,0.5103978,0.2104849,0.09327749,0.16227205,0.094521716,0.10788502,0.1320794,0.13813296
55,0.20740515,0.10759959,0.16784772,0.1725753,0.06729242,0.14463693,0.12457173,0.05417373
56,0.68415594,0.092052765,0.071844615,0.09727346,0.06964632,0.0321477,0.04615216,0.20204474
57,0.010796992,0.107728735,0.027571434,0.048695505,0.05396939,0.030609408,0.067125164,0.09938393
58,0.3293343,0.18467842,0.13685109,0.21205609,0.073280364,0.15687174,0.07221104,0.14882776
59,0.41566768,0.56320685,0.35327062,0.5493076,0.38165465,0.44529542,0.2781418,0.38197577
60,0.4682851,0.24748869,0.4675489,0.4809345,0.56460965,0.47934657,0.31409982,0.37517208
61,0.38838956,0.28838748,0.16475417,0.42348367,0.271806,0.50684816,0.20072985,0.28120616
62,0.124735124,0.05133598,0.13901426,0.21096833,0.100590594,0.09930657,0.20708677,0.09306826
63,0.113161854,0.14922814,0.09808783,0.08873388,0.091165334,0.040563647,0.1534859,0.084387876
64,0.081214175,0.05117134,0.10708755,0.10012599,0.17015202,0.2256309,0.10932541,0.02496419
65,0.12549542,0.0913299,0.09307242,0.06066726,0.051017486,0.15437749,0.017607385,0.08640057
66,0.3768398,0.22099076,0.17620403,0.29082796,0.31084248,0.5175845,0.18345441,0.12595232
67,0.49977523,0.25953996,0.40497288,0.37497073,0.4588311,0.6110718,0.56720376,0.2954563
68,0.38516393,0.38131303,0.16151236,0.36451164,0.16695668,0.35045078,0.21324362,0.25173742
69,0.20454884,0.08253622,0.050745737,0.06661724,0.05239462,0.12195342,0.10369521,0.054439317
70,0.11903771,0.081671,0.0568637,0.13351825,0.097473085,0.14776617,0.06625157,0.082386315
71,0.09277587,0.19542111,0.05217754,0.08117967,0.06443982,0.09295223,0.02562394,0.032231316
72,0.11200881,0.11051138,0.051203225,0.054587413,0.08947542,0.103985764,0.052865684,0.0145906275
73,0.101469316,0.06890752,0.03367825,0.06704691,0.060017496,0.0682512,0.043806534,0.010528669
74,0.33936855,0.4207121,0.29421073,0.48715696,0.5484324,0.48722354,0.44538972,0.2954347
