frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.21351163,0.5901133,0.63470566,0.7235243,0.7109346,0.6222835,0.76997334,0.49857736
1,0.1126271,0.61430883,0.5853574,0.31908765,0.59598947,0.6404436,0.6279944,0.29443827
2,0.49604413,0.7395744,0.8527226,0.70565903,0.4588094,0.51875573,0.78097075,0.35839176
3,0.73250246,0.3287936,0.17566004,0.35412365,0.42701706,0.55030286,0.22060321,0.578596
4,0.4786289,0.6461119,0.80536926,0.5047217,0.63659865,0.60777706,0.5839836,0.6215177
5,0.9248549,0.69919926,0.4444634,0.55667853,0.6884221,0.6804273,0.5488362,0.61287963
6,0.5563743,0.6481176,0.46379757,0.49342597,0.43508494,0.52114207,0.79657197,0.41743708
7,0.6657214,0.8533188,0.27408332,0.20627739,0.5630091,0.5911575,0.67292976,0.28853306
8,0.40756387,0.33054888,0.48657548,0.17456043,0.56471825,0.5350274,0.26423767,0.24691059
9,0.4157104,0.24472141,0.1597848,0.35300758,0.5509322,0.23227176,0.3868563,0.18996538
10,0.34604663,0.15503582,0.19754618,0.33981788,0.7335059,0.059282318,0.16174167,0.19458355
11,0.5358221,0.22125284,0.27625322,0.53087217,0.46760494,0.40550795,0.15441568,0.3532357
12,0.38408467,0.17483255,0.04900716,0.46909958,0.47359017,0.13312723,0.38931116,0.3050366
13,0.41182572,0.37589973,0.18658265,0.22530404,0.35404715,0.23307453,0.4129208,0.19014437
14,0.41425782,0.18079239,0.0998654,0.31883213,0.37052014,0.36059484,0.13127151,0.059759803
15,0.19706969,0.30696815,0.356754,0.3577589,0.53189236,0.59770775,0.30277637,0.27286267
16,0.4683444,0.36293125,0.39693305,0.46628243,0.3000772,0.39509165,0.5381126,0.15752688
17,0.6037978,0.9703519,0.3845108,0.37167406,0.50052476,0.5187394,0.40165076,0.2173153
18,0.2347427,0.51774406,0.3570207,0.2006534,0.5838306,0.5145421,0.33885196,0.5265659
19,0.24666749,0.1801571,0.18999346,0.34480384,0.6685906,0.6598846,0.6616595,0.19672403
20,0.5405603,0.17631273,0.3211816,0.41459647,0.36537334,0.50966775,0.4307615,0.28063628
21,0.45329434,0.6963434,0.40081117,0.7743718,0.5685907,0.62671834,0.73484427,0.49946037
22,0.23764284,0.34615815,0.38685524,0.21910214,0.7712887,0.27006385,0.67232746,0.23789279
23,0.254743,0.20595206,0.28034824,0.21024156,0.29909667,0.4646725,0.45362866,0.40759706
24,0.21919562,0.26418346,0.25989634,0.12782183,0.36801457,0.24639304,0.29591623,0.32532254
25,0.3903686,0.4377091,0.30822554,0.5077323,0.25443488,0.37749964,0.26895308,0.20692667
26,0.0,0.63329136,0.34856895,0.39363167,0.66760874,0.27802604,0.47211644,0.095147744
27,0.46063375,0.87106997,0.74542546,0.3418429,0.76348126,0.6662742,0.50681674,0.21434993
28,0.31940213,0.6643117,0.5507452,0.4441425,0.7001403,0.85373217,0.51841944,0.30903265
29,0.5198314,0.47368425,0.6437733,0.5406653,0.5790404,0.58456814,0.66700673,0.5761003
30,0.21249922,0.3857938,0.23113531,0.47003916,0.4197325,0.39394724,0.48242733,0.86625206
31,0.33982956,0.13999557,0.9999998,0.05177937,0.73654896,0.5453376,0.14067869,0.06464008
32,0.22878186,0.42718035,0.84714156,0.49628162,0.4457339,0.41063875,0.4174844,0.38781726
33,0.09663077,0.23731704,0.58933765,0.79001325,0.31754735,0.40405178,0.18584469,0.22413579
34,0.09144121,0.22377202,0.6506244,0.36939034,0.25176018,0.61392885,0.23925266,0.07344808
35,0.31778058,0.64876145,0.902854,0.48050666,0.31301397,0.64697653,0.415128,0.17889664
36,0.11366461,0.4202452,0.54945916,0.34373635,0.5724572,0.46974835,0.3121824,0.035833955
37,0.18728216,0.7836869,0.5731682,0.3457725,0.61790323,0.57929146,0.6629667,0.42047405
38,0.36378422,0.5392084,0.7109658,0.23024821,0.49478197,0.63673013,0.45348272,0.55316764
39,0.3885869,0.50335115,0.45617688,0.69841886,0.5598533,0.6070591,0.5014711,0.44524452
40,0.33787537,0.6335269,0.22932458,0.45343328,0.53831863,0.35849315,0.34941825,0.87557423
41,0.100427784,0.18095015,0.020769328,0.28956953,0.3408393,0.8065272,0.26663223,0.5356462
42,0.3236295,0.8928536,0.7861464,0.4066555,0.46355534,0.6855994,0.49586728,0.24104927
43,0.276122,0.9420761,0.7202263,0.5249633,0.6009625,0.29654196,0.34561193,0.44174367
44,0.15198965,0.35912672,0.07414136,0.10174826,0.47366437,0.55198795,0.46618706,0.50049466
45,0.23071732,0.5197495,0.14021449,0.111797854,0.48070022,0.67445844,0.39525056,0.39211062
