frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.4785068,0.30859458,0.28204563,0.2962615,0.33007926,0.6092327,0.32362792,0.24748354
1,0.25235298,0.20458716,0.23091133,0.5055821,0.6730236,0.47472456,0.1450193,0.26243705
2,0.035470657,0.0348424,0.41080925,0.43769154,0.117424,0.31962565,0.13385637,0.10556493
3,0.47840214,0.5117422,0.6844454,0.73636985,0.6145974,0.4334236,0.36245152,0.7876384
4,0.2720667,0.5777272,0.41442108,0.6403906,0.7114481,0.43885952,0.2621005,0.26812086
5,0.22361153,0.5821586,0.5035396,0.28060326,0.27759334,0.27975804,0.18878785,0.3492135
6,0.27509436,0.3365732,0.57426167,0.6125357,0.22993182,0.15188783,0.15727048,0.2600287
7,0.12491625,0.40210238,0.20654808,0.4485465,0.38561037,0.31970558,0.14235604,0.35748404
8,0.31509718,0.59825414,0.534317,0.428182,0.40391833,0.7534071,0.3946615,0.67571384
9,0.34272462,0.586714,0.49212155,0.51849186,0.48164102,0.36749184,0.39924783,0.58718437
10,0.53891385,0.42724344,0.33964464,0.5392042,0.47977644,0.22331876,0.61830884,0.5006201
11,0.48614132,0.59782505,0.38121453,0.6692885,0.27727944,0.26261008,0.41758373,0.49269342
12,0.38460806,0.47508183,0.22493444,0.31032518,0.18307836,0.13632002,0.7836866,0.1782637
13,0.52995306,0.40177357,0.4142959,0.4180785,0.38518158,0.34406334,0.62346995,0.2734888
14,0.30162606,0.42572537,0.34725755,0.5129552,0.17704326,0.2307846,0.5729139,0.32947114
15,0.3104188,0.46714532,0.23136413,0.86596966,0.19408989,0.26057628,0.59957045,0.18928371
16,0.5885236,0.41889387,0.30353734,0.63224393,0.19466352,0.26917344,0.7273152,0.7502156
17,0.4868373,0.25192666,0.5626561,0.5309264,0.42682782,0.25338355,0.54557353,0.68820715
18,0.6462172,0.46529174,0.34512413,0.4967256,0.54291546,0.29483104,0.32237405,0.6885836
19,0.9999999,0.45387635,0.6253508,0.7739845,0.32598287,0.35422084,0.67664516,0.99355656
20,0.09270042,0.19905622,0.57530683,0.7578704,0.42012787,0.34136036,0.78437006,0.27189207
21,0.49413508,0.29557148,0.618398,0.44559053,0.34571117,0.17290176,0.75547856,0.48200712
22,0.79320955,0.42251796,0.66786325,0.5781563,0.16875671,0.52227,0.46362698,0.14786182
23,0.5051936,0.4164973,0.38208446,0.7978352,0.41021624,0.46441105,0.5285439,0.3717496
24,0.31051394,0.1473499,0.41868177,0.47514102,0.2737425,0.19252469,0.17078266,0.13156074
25,0.3038202,0.11227991,0.9270867,0.355117,0.24179529,0.21326189,0.21639338,0.116044775
26,0.31328502,0.24547991,0.2704596,0.8677654,0.12963119,0.23109497,0.17492993,0.15889765
27,0.4240446,0.24560341,0.30457357,0.3091625,0.1648857,0.33322933,0.18663666,0.110383615
28,0.2974204,0.088823356,0.09573009,0.24504586,0.15415244,0.3026494,0.17009623,0.04593399
29,0.027168812,0.0022374922,0.005587889,0.04644369,0.0806806,0.039391495,0.04253128,0.06017654
30,0.3871781,0.32381636,0.33621585,0.46462518,0.16215068,0.4116699,0.35061386,0.29416373
31,0.31448507,0.10830256,0.16263346,0.7081803,0.15594557,0.2315061,0.2257236,0.16154526
32,0.26859245,0.13347457,0.519009,0.35280555,0.19332846,0.2388084,0.28265008,0.2935155
33,0.4953152,0.3719535,0.5994202,0.6557324,0.23996931,0.4128721,0.511886,0.35878977
34,0.70078576,0.3750983,0.6236044,0.64547116,0.4477972,0.40239015,0.59777427,0.34447762
35,0.64711934,0.37366545,0.6656329,0.5848662,0.33973214,0.50339293,0.3421818,0.49231547
36,0.31077945,0.1707508,0.35348284,0.5375964,0.14315738,0.3163976,0.17978027,0.25906545
37,0.52571315,0.71317244,0.42904785,0.42146167,0.5204504,0.78930444,0.45720515,0.5291131
38,0.60438895,0.39805466,0.56350774,0.63334316,0.4537109,0.5954334,0.5513378,0.5304714
39,0.42286265,0.060829077,0.39999428,0.26199183,0.34156886,0.19066402,0.3195755,0.3881338
40,0.64827543,0.22454885,0.25135353,0.27611563,0.20321281,0.10641256,0.25288233,0.24611376
41,0.37657285,0.41206393,0.54171497,0.32713395,0.23309936,0.16102244,0.17316738,0.38612124
42,0.79033947,0.5467803,0.7073957,0.54587096,0.14903611,0.32841736,0.42304587,0.6910482
43,0.49409598,0.5386153,0.678832,0.635266,0.30414185,0.18910295,0.740704,0.4001405
44,0.5261409,0.28069097,0.34503505,0.4739277,0.28660357,0.27910107,0.23362814,0.06708511
45,0.54256725,0.033319946,0.24986279,0.25491336,0.16049638,0.120417394,0.18663883,0.08937206
46,0.17888196,0.37717715,0.45959878,0.24408364,0.16001238,0.364461,0.28874478,0.16318093
47,0.22523795,0.13461009,0.18595584,0.12164202,0.25048152,0.096431814,0.22337484,0.10093155
