frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.20408641,0.41297117,0.61376446,0.41647807,0.34628797,0.53309226,0.48474464,0.22125758
1,0.3836361,0.4651731,0.20282309,0.46552506,0.43585256,0.5010489,0.9155473,0.4376151
2,0.3329185,0.73899835,0.2388455,0.42435223,0.40140513,0.39498913,0.20450212,0.2397198
3,0.47761935,0.5464231,0.5145049,0.66330534,0.56273633,0.5533305,0.40055442,0.37074178
4,0.45339778,0.4671949,0.34906653,0.3073062,0.48980564,0.46021324,0.48455763,0.40438378
5,0.18067469,0.24415013,0.13654634,0.10530765,0.21832918,0.11272275,0.22010818,0.21028721
6,0.66630447,0.8919579,0.48101127,0.84982324,0.56326807,0.5934331,0.41404483,0.58372265
7,0.8376794,0.5774364,0.81184447,0.3523845,0.72244936,0.34911492,0.36287,0.60904527
8,0.2622583,0.2653434,0.45080096,0.37670112,0.4760235,0.33636266,0.3009567,0.45475104
9,0.25378403,0.5064382,0.44387427,0.31324065,0.24840227,0.37328658,0.41294432,0.19579715
10,0.07757717,0.033280987,0.033716362,0.012317973,0.06876247,0.5507496,0.067618646,0.029772373
11,0.024556242,0.09655882,0.1261705,0.12449544,0.13112389,0.5326428,0.10896903,0.1641941
12,0.0,0.069908336,0.13031408,0.04225304,0.23034883,0.051587824,0.015382582,0.04619655
13,0.24723753,0.19037083,0.59813476,0.33820066,0.21677224,0.42162946,0.13797455,0.111484006
14,0.18520108,0.45062545,0.4252333,0.58082646,0.4235544,0.5180832,0.64763296,0.21897541
15,0.7200978,0.37445432,0.5761522,0.49786648,0.9999999,0.5149559,0.3529273,0.55132484
16,0.7133209,0.5195426,0.63360757,0.4764528,0.5024695,0.4467405,0.47123364,0.2203063
17,0.22556108,0.41062546,0.4429756,0.29241893,0.5382127,0.20050941,0.4459003,0.353272
18,0.0073107616,0.061334252,0.043619066,0.121923804,0.09241949,0.22358952,0.11917326,0.20743059
19,0.4958713,0.21579178,0.28971973,0.42350876,0.102744214,0.43427488,0.39390755,0.3986778
20,0.5669672,0.90102875,0.5407543,0.5090149,0.681922,0.8370041,0.66356117,0.5826655
21,0.40089333,0.3491569,0.48976365,0.4419938,0.58349633,0.265733,0.44096738,0.7242641
22,0.2616523,0.20910947,0.31050125,0.30465597,0.5905745,0.31781104,0.27757344,0.13061309
