frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,6.207073,2.3321962,4.344201,3.327417,3.7234087,5.0027113,2.7741675,3.8703601
1,3.613539,1.6447065,5.1337337,3.8579564,2.912864,4.3392644,2.8207808,0.9508787
2,6.1250153,1.912542,3.763422,3.8263516,2.845631,4.4940176,3.2957451,4.0851316
3,2.2099645,1.1338212,2.3476489,3.4029844,1.9942995,3.0172143,1.3516722,3.40134
4,3.893268,3.1119008,2.6334112,4.328306,3.3562198,2.2909288,3.2202327,3.3833277
5,5.5646367,3.0353856,3.6784954,3.878449,4.2568464,3.2140758,3.8584442,3.7120898
6,4.0033064,2.261304,3.2961671,2.955145,2.6971877,2.0972106,3.1022897,2.1228404
7,1.3289666,1.4497092,4.0854273,5.0651865,4.5614634,2.1192384,2.250884,3.6519222
8,1.957018,1.6700298,2.7499232,4.6753664,3.3095746,3.0451093,4.0504932,3.4980326
9,1.1417129,1.7632074,3.8292937,3.9480371,2.0359304,2.3086765,1.4634408,2.0834227
10,1.1604432,1.3301544,2.5953722,5.8483386,2.5597415,2.0625677,0.9982778,2.2455385
11,4.725174,2.8682551,4.2023344,0.55196875,3.7013469,4.413518,3.4806948,2.167159
12,6.6611795,4.154722,3.5057702,5.6552396,3.0991051,3.9657173,2.8392372,2.2946105
13,3.2260814,2.781961,2.156439,4.43497,3.662655,4.1114535,3.8687043,4.6364007
14,4.342105,3.854255,5.6557856,2.6205082,4.344078,5.1551576,3.1724544,6.2395377
15,4.8328214,3.7842023,2.7776012,4.022152,3.771333,3.8347127,2.9681885,2.931124
16,3.8712406,4.3752775,4.297538,3.911144,3.9186764,3.6085181,5.0346184,3.374478
17,4.874793,3.3880973,3.2227385,2.7588356,4.2543387,3.5009959,4.4240456,3.2864983
18,2.272133,2.6392648,4.92016,6.638492,4.0700665,4.4001217,4.161426,5.530331
19,4.941992,5.3114758,3.1285143,3.5075705,4.0272007,3.8876462,3.8360357,2.4367037
20,5.402525,4.2541533,4.987731,5.071705,4.11454,3.966543,2.8125453,4.417271
21,3.2479901,1.956481,4.496381,5.3973475,4.735799,3.5330777,2.1979513,3.50992
22,5.931349,3.6056173,2.7777731,5.8416767,3.4982128,4.0512915,4.3981285,2.7393003
23,3.8449972,2.6187913,2.8680768,4.407716,3.253118,3.7845812,2.246016,1.9567771
24,6.57456,3.8767257,2.9052005,2.4038682,3.716588,3.0485091,4.0848227,4.306462
25,5.607225,3.0428865,3.7311566,3.3408804,3.7431538,4.3526597,3.1505303,2.9697192
26,5.47757,3.7332473,3.498248,3.7754936,4.2059712,3.2400236,5.544603,2.425014
27,5.663068,3.3659184,4.537467,3.623206,3.4462924,4.1297483,4.176153,6.406417
28,4.410041,3.5420408,4.1601744,8.159557,3.0035837,2.868112,3.3634229,4.8942547
29,6.9957724,4.0696726,3.0877295,4.96072,4.7904725,3.6254005,4.291998,2.3091173
30,3.476935,1.6415415,4.624413,3.9335887,2.8113146,2.391086,2.6937094,3.255047
31,6.3525047,4.808794,2.9357643,4.445919,3.3661644,3.1894684,3.026106,4.4861927
32,3.6454303,2.5141485,5.35248,5.84897,2.2477396,1.9756964,2.1970673,4.294215
33,2.8067842,1.6142983,3.5289848,4.859245,3.4493463,3.5776649,2.0304859,4.8683124
34,1.1284758,2.0205114,3.4335122,6.2648325,3.2317288,2.9009688,1.4526632,3.6100426
35,1.338493,1.8616321,4.1251755,0.35994935,2.7678246,2.0948062,1.5649407,1.5781758
36,2.0580661,2.2597775,2.5254855,0.30786476,3.6013708,2.8335576,1.7970909,2.5089457
37,1.5790231,2.9677563,1.8617878,0.2052542,1.5920379,2.6279407,2.115416,2.1486852
38,2.204506,1.2389891,5.769928,2.0760553,3.44698,2.2069879,2.8486016,1.4906654
39,0.9621173,2.6459298,2.5332246,2.8765974,1.3305354,1.2273695,4.7207537,1.4351475
