frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.18909554,0.22760195,0.16161521,0.16491114,0.19214873,0.20592386,0.19564305,0.13257243
1,0.10637895,0.23069829,0.18441701,0.1680311,0.15918769,0.1835975,0.15905413,0.13341206
2,0.13095938,0.1992188,0.15209283,0.1497482,0.1530255,0.16408592,0.3120186,0.13193342
3,0.009702026,0.017107388,0.047576472,0.022903098,0.043702733,0.035521794,0.17054857,0.066489495
4,0.16918442,0.12340052,0.09486334,0.12878902,0.4647161,0.27476937,0.22428784,0.13177188
5,0.45613766,0.5170503,0.19961888,0.24976747,0.42086488,0.3708917,0.51070964,0.30245358
6,0.83092123,0.4300364,0.7185018,0.58887243,0.5134089,0.32819948,0.39599922,0.6362133
7,0.31301132,0.35034132,0.37356457,0.19087729,0.33499667,0.3536411,0.35400206,0.2691056
8,0.4935393,0.62864065,0.37179694,0.40754572,0.5218087,0.7745539,0.5818647,0.2819445
9,0.084716186,0.118418194,0.08184387,0.06171195,0.038826793,0.052425377,0.12048267,0.22901037
10,0.012636538,0.06368119,0.03862286,0.040467095,0.058309782,0.120377354,0.050162252,0.041592635
11,0.03235627,0.118038446,0.0029462688,0.051412538,0.04789756,0.049502682,0.032019928,0.0065126396
12,0.04491915,0.082931034,0.027973855,0.044916812,0.0020921852,0.16621403,0.065946676,0.049847934
13,0.06827111,0.1280846,0.101932235,0.10118394,0.04721813,0.08881503,0.10787597,0.058476046
14,0.58285385,0.4780584,0.29903007,0.45722026,0.38572976,0.35635108,0.48638654,0.22575773
15,0.4080823,0.4644844,0.45062655,0.590976,0.28841582,0.53935474,0.33007166,0.38626975
16,0.14902717,0.17755075,0.15787496,0.08804367,0.3256905,0.37682894,0.2697994,0.36041424
17,0.13536403,0.15293899,0.09801571,0.106987536,0.17460708,0.15337682,0.05978181,0.11885964
18,0.082762025,0.032001562,0.043397497,0.047135446,0.13477717,0.1054359,0.07660753,0.28382668
19,0.03735626,0.0357178,0.011954739,0.020997653,0.025580317,0.017780153,0.01308695,0.03790043
20,0.029693687,0.010607765,0.040920395,0.08315687,0.047230903,0.041890092,0.027089322,0.16890593
21,0.054609485,0.014805572,0.035773143,0.026519064,0.05596541,0.029606586,0.062413197,0.08302917
22,0.058102895,0.01936197,0.038531914,0.055769615,0.05934241,0.0552207,0.083956845,0.08022945
23,0.12317213,0.09651142,0.07091345,0.112303026,0.12095094,0.13026208,0.11809666,0.13212115
24,0.3282141,0.35358137,0.2726132,0.44771805,0.6377008,0.41417325,0.653686,0.4431144
25,0.15627076,0.13093983,0.14821376,0.094761275,0.5249445,0.30125353,0.25506717,0.24651347
26,0.1296001,0.33736303,0.14996934,0.27321044,0.4855513,0.40412655,0.27882767,0.38241735
27,0.023546848,0.06481158,0.04847098,0.024470562,0.1354095,0.14758533,0.10754331,0.07757616
28,0.08802395,0.09051703,0.08822852,0.107736625,0.2609272,0.30171835,0.09631282,0.19835721
29,0.11257202,0.18429546,0.058824953,0.13525456,0.31293508,0.21722741,0.10975714,0.10182548
30,0.101062894,0.10554268,0.03380091,0.07633513,0.19777402,0.095667355,0.1019542,0.0819372
31,0.019301252,0.057231948,0.010552391,0.023689233,0.045568656,0.038256735,0.037941955,0.039882988
32,0.061932262,0.06057357,0.024036702,0.08101762,0.21997507,0.12535653,0.09086014,0.024974626
33,0.04481433,0.037791476,0.0020564238,0.044466004,0.30670115,0.067544915,0.0670319,0.05117834
34,0.024029851,0.034112167,0.026106881,0.039558515,0.2933646,0.06796382,0.06324509,0.050214123
35,0.22518657,0.18885039,0.20502965,0.2376546,0.26837024,0.4461092,0.17773424,0.26620105
36,0.43902996,0.5415047,0.43976173,0.36060944,0.48390713,0.63444465,0.484073,0.31072176
37,0.21535723,0.6102032,0.30080926,0.42202634,0.6366996,0.8712008,0.72075194,0.2176463
38,0.1339892,0.05622435,0.10791312,0.120693244,0.16223145,0.24151483,0.22174026,0.2873683
39,0.021261182,0.014538251,0.014524102,0.023395319,0.17998451,0.071706384,0.19421053,0.0030523264
40,0.02688685,0.04841632,0.06003498,0.048057694,0.1826797,0.09812456,0.20372935,0.022547953
41,0.017724877,0.020495644,0.05277422,0.029390292,0.17368314,0.04667402,0.21539076,0.08640388
42,0.028601442,0.03215444,0.05272466,0.027401505,0.06563876,0.10686262,0.06616878,0.0836
43,0.006024353,0.0003586619,0.019682627,0.0409049,0.023349091,0.07977602,0.2395464,0.07240007
44,0.0,0.044270895,0.07490281,0.036721986,0.13622338,0.108273774,0.067260005,0.06727048
45,0.116615035,0.58048105,0.24299046,0.1413933,0.73412144,0.56252533,0.40633324,0.23358987
46,0.3676597,0.3226015,0.32664573,0.46760994,0.40161934,0.5286391,0.47356126,0.21158692
47,0.1964146,0.1281509,0.0702293,0.1940163,0.4198759,0.21568695,0.14015284,0.12572742
48,0.14195387,0.3391672,0.11914199,0.14047666,0.45583764,0.29540333,0.24166995,0.12091877
49,0.33100545,0.37037426,0.18456292,0.17708336,0.46363717,0.27655226,0.48476672,0.25087783
50,0.26820734,0.23439035,0.0851328,0.16990888,0.20228603,0.312211,0.38011146,0.09321878
51,0.23394343,0.15674962,0.12351023,0.24469462,0.19662873,0.19920051,0.109437846,0.1273031
52,0.094209604,0.16952318,0.049585216,0.09768974,0.1137857,0.08964677,0.19257884,0.081896156
53,0.12288612,0.21297623,0.09127597,0.14021805,0.14309232,0.10548607,0.248062,0.11873826
54,0.056107607,0.15738982,0.047868803,0.07855136,0.062237732,0.12143622,0.099236354,0.06817771
55,0.036423102,0.06487183,0.046290133,0.060726497,0.08056457,0.028656088,0.06992902,0.025522918
56,0.03781905,0.04370204,0.0221792,0.061043616,0.065806516,0.025500076,0.030089809,0.031072667
57,0.071712196,0.010940324,0.04178159,0.038595743,0.09877053,0.038265586,0.043052074,0.036824394
58,0.1772602,0.13932168,0.13364331,0.14935035,0.25724238,0.14358672,0.11128835,0.14295429
59,0.5347769,0.49310234,0.33193573,0.249245,0.49488798,0.4186294,0.34335884,0.37216246
60,0.46228704,0.79715854,0.40960017,0.5184995,0.47834408,0.5205039,0.6333582,0.42270762
61,0.20207024,0.3791438,0.49882597,0.37152714,0.14277066,0.18974487,0.20051983,0.6825138
62,0.110925764,0.079703845,0.34909165,0.09174677,0.046626925,0.109342225,0.12939225,0.17942074
63,0.33557752,0.32857478,0.6763837,0.21436547,0.2693538,0.14322756,0.29698643,0.82631624
64,0.22000371,0.4175378,0.6551252,0.26047295,0.16225114,0.20617634,0.19642855,0.19058551
65,0.029712712,0.013877396,0.06586694,0.042707756,0.04432525,0.02725182,0.040988628,0.05751647
66,0.023479443,0.051996548,0.07688211,0.090165086,0.051504903,0.08757625,0.09608992,0.09771797
67,0.08716349,0.05561881,0.08631946,0.13949953,0.049620494,0.123121,0.061245363,0.08917388
68,0.33716553,0.6866351,0.85668045,0.60511786,0.4254958,0.38209802,0.6102821,0.6858201
69,0.47024095,0.6604752,0.41738358,0.52383316,0.45585155,0.59138286,0.5164917,0.613582
70,0.43241918,0.57027143,0.25724155,0.4815925,0.6836012,0.6832918,0.36072844,0.3583983
71,0.46587113,0.4681197,0.15598042,0.7327865,0.68291116,0.7854511,0.34638637,0.30854425
72,0.21847741,0.228811,0.10033457,0.26253283,0.4781986,0.30325782,0.23461714,0.16968496
73,0.13151927,0.18254472,0.03082012,0.083868034,0.087080255,0.18555427,0.083288066,0.05959769
74,0.044883233,0.105819084,0.029665237,0.010742999,0.042899713,0.13728435,0.010871246,0.012293411
75,0.039620243,0.009881672,0.00896686,0.019960474,0.019793944,0.0878201,0.05979337,0.042062625
76,0.017211713,0.024907779,0.0032328763,0.038589716,0.035878323,0.049637433,0.03828889,0.008134087
77,0.10053139,0.011742446,0.04050842,0.028046757,0.041336797,0.04877685,0.06608519,0.024588745
78,0.25465405,0.12741292,0.11976767,0.19284719,0.21871148,0.34900323,0.14605433,0.07035033
79,0.46042445,0.25632215,0.5425557,0.31894732,0.67121375,0.6618251,0.2207999,0.2520199
80,0.32555076,0.16145751,0.27896258,0.20012672,0.3581337,0.32587785,0.19058514,0.3348395
81,0.4949334,0.25947684,0.3697467,0.2315627,0.65855604,0.28061628,0.17325747,0.44496718
82,0.27456135,0.18934575,0.12744083,0.14233601,0.21750855,0.24345031,0.20360687,0.32881224
83,0.7127252,0.2796745,0.46569616,0.2847953,0.49018317,0.2127589,0.3075514,0.43805435
84,0.1430295,0.039469525,0.12768972,0.081343114,0.09023078,0.09702603,0.07542187,0.27269936
85,0.208839,0.034174256,0.065776035,0.041640345,0.07058392,0.060616188,0.042129613,0.14039975
86,0.17904705,0.045069404,0.07953787,0.0665242,0.11822046,0.036702026,0.011683118,0.098580495
