frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.39576375,0.36700502,0.6410252,0.727374,1.1852331,0.24746701,0.12003738,0.41227436
1,0.3464525,0.2668976,0.29801327,0.46150756,0.36982143,0.32287866,0.2501041,0.3088956
2,0.4285509,0.36338347,0.2931291,0.31532237,1.0386323,0.21998027,0.44659585,0.3516571
3,0.8744117,0.45267707,0.61685264,1.1976938,0.409105,0.27097327,0.39044034,0.27922326
4,0.51935196,0.6475932,0.52161443,0.5585212,1.4041193,1.187772,0.38943887,0.37582803
5,0.715406,0.50293255,0.43557745,0.67540145,1.3656597,1.3748589,0.4795999,0.30233973
6,0.7305463,0.33809498,0.47451323,0.45053148,1.2671709,1.3204889,0.33260024,0.4793558
7,0.30208164,0.2411366,0.30687606,1.0978084,1.1516892,0.40243876,0.3498724,0.44245824
8,0.48502934,0.41555244,0.5732868,0.59683025,1.0555806,1.4572382,0.3956844,0.41355127
9,0.6131603,0.45527166,0.43658578,0.4803288,0.34407997,1.4980564,0.29117227,0.6681822
10,0.43418026,0.30775496,0.41831526,0.53825253,0.45980752,1.4641585,0.3085592,0.48287946
11,2.7626214,0.3399788,0.3063323,0.65495694,0.60136116,0.2215001,0.44802684,0.49184743
12,5.268333,1.4609785,1.7725126,1.6308048,1.0943595,2.0072567,0.86977696,4.30719
13,5.1309156,5.703459,5.4537888,4.2847614,3.1380987,4.8564787,3.9897823,4.103721
14,3.6268735,4.5046206,4.7547817,6.7896976,3.9000444,3.6569571,6.1783695,3.4729414
15,5.4415574,4.784996,5.3910465,5.796357,5.076804,5.665517,4.552704,1.1245216
16,3.1855087,4.024746,4.584424,2.751039,4.1323776,6.1487823,5.036007,0.8356687
17,1.4722853,2.0664382,1.9470582,1.0749264,3.3066487,2.6148367,3.696157,3.117337
18,1.6372957,0.56367075,0.6759497,0.55762607,0.49017945,1.1598101,0.73272115,1.2195411
19,1.0646566,0.8422135,1.0007815,0.9515716,0.5721601,0.935805,2.1154861,1.7243493
20,4.0643272,4.118624,2.5322928,2.9109378,2.6308632,2.5928452,4.3040323,2.6515605
21,3.895567,4.6196585,4.851371,4.649845,4.5609913,4.143914,7.6122127,4.622776
22,4.5729628,4.937007,2.8802547,5.167364,5.1286936,6.2668524,4.8274074,3.9524195
23,3.692729,5.244471,5.8133626,4.9158716,4.6749344,5.260968,3.3779902,4.206586
24,1.1940967,2.0195594,1.5399026,2.3435354,0.8857365,1.6326687,1.4205287,2.8921628
25,2.6813824,2.2641525,1.3481367,1.1943874,1.4600072,1.541132,0.8770218,1.7869148
26,1.2901692,1.4958093,1.2555935,0.9198696,1.1614037,1.2131374,0.7435624,1.9797812
27,1.0054921,0.6882055,0.5921122,0.8800119,0.81554747,2.498459,0.90800834,0.5687555
28,1.4402543,1.2648337,1.6558151,2.9152641,2.139981,2.1048846,2.2053394,2.414567
29,1.743077,2.7623897,2.3408413,2.6287115,2.7032485,2.9455428,2.5763147,1.751342
30,1.7776246,4.7773046,3.471366,3.2217069,4.5455217,4.3707094,3.87783,2.852661
31,2.0533934,7.222534,2.8004751,2.7404065,4.132225,4.939254,3.2151833,4.548
32,1.7579733,4.5643907,3.191347,2.0350218,3.5957093,3.757734,2.8100352,3.717259
33,1.3802847,2.9177778,2.1050124,2.291597,3.3076406,3.466367,2.982036,3.6713662
34,1.3268769,2.2714996,1.7879127,1.4100449,2.0198624,1.719812,1.2427027,1.148737
35,1.3151838,1.5470846,0.31679732,0.9295499,1.5829095,1.5334921,2.405464,0.38316408
36,0.49858925,0.46048456,0.36528984,0.24837646,0.6688178,0.78678524,0.5194651,0.75942636
37,0.7775885,0.74927056,0.4575965,0.37609226,0.8989737,1.0104724,0.8598295,0.26459038
38,1.4119116,3.4941492,3.45671,2.314068,4.210783,2.1011958,2.3889537,3.757578
39,4.1231165,3.9057922,4.674196,4.8322163,2.0331144,1.9817009,2.1507633,7.1039133
40,4.875499,5.9824085,4.7976527,3.8200808,5.1787233,3.2094967,4.104828,5.4014845
41,5.402613,4.742029,4.5811734,4.5371437,1.6333799,2.5491552,2.8502674,4.1989875
