frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.32513937,1.2321184,0.59959525,0.36667445,0.35572386,1.9698794,1.292016,0.06926437
1,0.16593203,0.95152426,0.5646887,0.39112312,0.50891924,0.31347355,1.4325739,0.109709546
2,0.25372046,1.0106736,1.3637853,0.61287826,0.81196284,2.355577,1.4579706,0.23736128
3,0.3874734,0.77035093,0.9960425,0.6168799,0.6144855,0.9128569,0.86777866,0.066769905
4,0.4518214,0.6404555,0.73883796,0.83837116,0.8548918,0.94544524,1.1579716,0.09265928
5,0.6522297,1.2017764,1.1066121,0.33831787,0.5988407,0.4405043,1.5701177,0.10640379
6,0.9953146,2.5091934,2.9862022,1.5559411,2.3054056,2.6350384,3.39348,0.42475268
7,2.1588852,2.271768,3.2455177,2.2865117,5.534938,3.3177636,4.4927287,5.0996532
8,1.4107075,1.9365854,1.9039669,2.425037,4.003458,2.9086363,4.402484,2.6676576
9,1.1339903,2.790567,3.0834596,2.4259813,3.0887415,1.5813775,3.2790525,3.323956
10,2.1657138,1.7295556,3.638951,3.6625428,2.9270997,2.208239,4.119416,3.587171
11,1.5276679,4.420381,3.0140119,2.537876,4.995508,3.164106,5.398353,4.051013
12,3.2464159,3.640797,4.414456,4.3024054,3.9741158,4.276887,4.8707733,3.1133456
13,1.1907563,2.0152378,1.9830129,2.4146159,4.7548203,3.4365997,4.329857,3.3968139
14,2.0685005,3.253076,4.4333034,3.1337423,4.9229746,3.3473306,5.316188,3.7755766
15,2.403903,3.4111469,5.315709,3.4650335,5.2057247,4.2132187,5.523982,3.963443
16,0.46682265,0.7277819,1.9440908,0.75018287,4.3038745,1.5219752,1.9046303,1.9850657
17,2.7763462,2.8967576,5.3412256,3.9196796,3.0521116,4.1710825,5.8574095,4.4645452
18,1.4571643,4.6939096,7.3396444,1.7987951,3.6915064,2.6699352,3.4471865,6.3909883
19,2.7521605,3.6481373,5.0978193,4.5928755,4.8861284,3.817076,4.4792547,5.1650186
20,1.1369972,1.3086786,1.1921647,1.8501966,5.088567,1.3120662,0.797421,2.012163
21,1.8733188,3.6110864,2.218403,3.2002382,3.8725266,2.0204816,3.2773662,3.3251665
22,3.722614,2.743609,4.496101,4.651286,4.2663774,4.5441933,6.336258,5.356538
