frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,4.696616,4.5454235,4.87521,3.6290338,4.7735157,5.6683025,4.1125197,5.487532
1,4.182618,1.0338283,2.6482863,1.6444197,2.9981236,3.4863324,2.5132914,2.425455
2,1.7562635,1.0310704,1.2641741,0.53922474,1.2464206,0.97077113,0.97256815,1.7502418
3,0.5651512,0.84176147,3.0572164,0.52754104,0.66616726,0.90648043,0.5545047,0.49671713
4,1.4955323,0.3737327,2.6396925,0.50484437,1.2494452,1.1582873,0.6023984,0.91887534
5,3.3743875,1.9511067,3.1224198,3.1112251,2.1855419,2.3921351,1.582849,3.133448
6,3.8362427,4.8630056,6.2140703,4.2647433,2.8421962,4.560502,3.4620936,2.524974
7,2.8401308,1.0374656,3.8556182,2.3052025,2.5753608,2.851417,5.0476327,2.4229033
8,4.0143247,1.7840095,4.516289,5.6331654,2.5457935,4.1881714,4.133138,2.446793
9,4.9557266,3.9848144,1.5083863,2.4521894,2.5745804,4.904723,2.0593004,2.2268429
10,1.9136009,2.3666773,0.6951118,1.5886129,2.8908272,1.8980753,1.089576,1.4802477
11,1.9511498,0.6663214,1.9621732,1.6602948,1.246298,1.0492495,0.5705296,0.8624568
12,3.318581,5.3794155,1.6635218,3.337488,2.5244036,2.4595351,2.2928123,2.817218
13,5.467993,4.898592,1.8761532,3.9633296,2.0980034,3.3417213,2.843626,4.343862
14,5.650801,0.31766754,1.0570853,1.8395056,1.2816949,0.7414806,1.0361798,1.4991449
15,6.3652344,3.990294,1.6551497,3.6411242,3.3051162,3.102695,2.42505,4.695446
16,2.7310505,1.7741966,2.4543715,2.5106835,1.0374022,1.7611272,1.9491075,3.0676918
17,0.79192674,0.87000424,0.8560523,0.7583715,1.0730747,1.4832904,0.72308314,0.6650779
18,0.24845971,0.4958006,1.0084052,0.7493064,0.8179398,1.5129893,0.34288558,0.60407346
19,1.9929116,1.6853197,2.148201,2.0202076,1.7200857,1.3840165,1.2584989,1.553617
20,2.9616773,6.179385,2.0475817,3.49279,2.4824824,3.3216352,2.5400357,3.142756
