frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.3392328,1.1018298,0.7668129,0.55610263,0.34505787,0.3978815,0.62883985,0.43041515
1,1.4992466,0.9743328,0.83959234,0.5780489,0.537408,0.8677335,1.1962292,1.2700543
2,1.727194,0.8503628,1.1397035,0.5870577,0.28201443,0.71045756,0.883921,0.86589706
3,1.200094,0.50076914,1.075331,0.35502097,0.7661901,1.2023098,0.37948352,0.3751302
4,0.752885,0.8745425,0.9222412,0.55650854,0.6896086,0.7990296,0.75435925,1.075777
5,2.0764341,0.52492976,1.3869522,1.420848,0.7243166,0.65706444,0.7914597,0.6257342
6,0.9119294,0.9966663,1.5960982,0.7322433,0.8680839,0.5438797,1.4374747,0.77933663
7,0.98705137,0.7334293,0.83727574,0.49676374,0.38011408,1.0521204,0.80282944,0.6685894
8,0.67105734,0.7435138,1.8607311,0.745415,0.9589267,0.7082448,0.9265219,0.5627482
9,0.5421281,0.855194,0.8689724,0.7018324,0.40732625,0.5213517,0.72193277,0.77966475
10,0.7560642,0.73285013,0.70087403,0.7664065,0.7613536,0.45194846,0.63311136,0.42488933
11,0.9930588,0.63223433,0.7223386,1.0218025,0.699469,0.36311913,0.7020829,0.4652755
12,0.47689617,0.5224743,0.74457014,0.6843201,0.97667605,1.432411,0.42978823,0.50745094
13,0.5521474,0.45603922,0.75129676,1.1540711,0.96633005,1.3070976,2.1835299,0.65964997
14,0.98780584,0.709617,0.57346106,0.59703755,1.0092505,1.3693892,1.202693,0.79281163
15,1.7351842,1.1050227,2.413526,1.022106,0.98886174,1.5096948,0.6765942,0.754261
16,1.2067451,0.33010286,1.5312538,0.56126463,0.45108828,0.7273632,0.7002735,0.4494353
17,1.4868091,0.8511238,3.3056269,0.91925204,1.0746069,1.4177186,1.050242,1.2962475
18,1.5342512,0.9903486,4.896433,2.1389203,1.2152534,1.1871214,1.2246857,1.9868755
19,1.4405214,0.89543426,1.2620349,1.3170431,0.7654057,1.389201,1.2221818,1.9828182
20,1.7009617,1.0077716,5.2992096,1.2755885,0.8300719,3.1278849,2.849703,1.1599085
21,1.902287,1.1726174,3.1968322,1.4464746,1.6449951,2.0501046,1.6057019,1.212172
22,0.9133259,1.3055977,5.2037077,0.6656564,0.7131614,2.3195674,1.0032735,0.88223255
23,3.1346912,1.4091644,6.351012,1.2174051,1.8741115,1.6892539,1.9439864,2.927526
24,7.361121,1.5772392,2.6935587,1.2000718,0.94692886,1.5071673,2.7165089,4.8831573
25,6.54589,2.3965364,3.0480378,3.2027092,2.8986907,1.461945,2.6799355,5.443447
26,8.229607,0.956781,3.617927,1.1000202,3.080472,2.5533423,3.3352833,5.1853724
