frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,1.3111672,2.0527332,2.271996,0.77413046,1.8800446,1.6853099,1.9276488,1.9390823
1,1.8305078,2.321116,1.8121887,1.4741235,2.943008,2.5145197,2.2624612,2.8110452
2,2.2071323,1.841212,1.9473207,1.8407667,2.844863,1.5774214,3.4122417,1.456312
3,0.70159626,2.1479492,0.67079896,0.4353326,0.394458,0.40058827,0.13561147,0.5250249
4,0.36731654,1.9106826,0.27448875,0.3315004,0.5592155,0.40903097,0.16561079,0.87562144
5,2.6153204,4.2955346,2.498393,2.5802987,4.04213,1.9738777,0.9088472,1.2572716
6,4.9850554,3.78368,2.8376963,2.6638606,2.82463,3.427648,1.1694856,1.8047495
7,4.7358174,3.717537,3.2896078,4.8126984,4.514433,4.8657923,3.7803228,1.8777046
8,3.2200046,4.6837792,3.447114,4.211504,4.4579062,5.855693,2.3791296,2.3421526
9,2.881506,3.8330002,2.9676473,3.1338403,0.8264536,2.475946,1.7106416,1.8892214
10,4.8255863,4.509261,4.636187,3.5951114,2.0384157,3.5298605,1.8119323,3.0051432
11,3.7972772,5.7095766,2.572689,6.840165,3.2807815,4.600858,4.1990547,3.769959
12,6.401667,5.5036364,2.1243968,2.629566,2.3954005,2.6033075,1.4465199,3.4251282
13,4.7839503,3.5197525,3.0011783,5.948348,2.1583161,3.0789752,1.5760052,2.6615157
14,2.577167,3.1765747,1.6920621,4.011897,2.912018,2.8586397,1.2461152,2.8733892
15,1.4226427,1.3754997,2.4146252,2.302165,3.9917982,3.1105225,2.1588478,3.806083
16,2.4911492,3.3184242,4.326236,3.8739617,1.3046203,1.6694162,1.2824779,2.038155
17,3.0883002,2.4950132,2.0047185,2.5356255,2.5870485,1.7569168,0.6396849,1.4473493
18,3.455247,2.210445,3.9815044,3.6087859,5.797899,2.7593346,2.6665154,3.3186486
19,1.3552265,4.4590263,3.1327095,3.8855474,2.889193,2.5112872,3.3532023,1.5722098
20,2.7534175,2.5270786,4.0998855,2.6819572,3.0661402,1.7768599,4.6091375,1.8952193
21,1.2446358,1.6014068,3.1373081,3.4665823,2.1185782,3.4202728,2.5889738,1.1532854
22,3.6527572,3.8367648,5.021907,6.388634,2.2827213,2.5562158,1.3002803,1.7291301
23,3.930974,2.5121021,4.1306944,2.805821,2.7138147,4.1454854,2.0296526,1.6152378
24,3.151547,3.2917857,4.016809,4.768688,2.2181182,5.5972977,2.1350129,2.5959833
25,2.7526667,1.9523301,2.934433,3.5021725,4.447941,3.9282422,3.7215424,1.9724798
26,0.88130975,1.5635583,2.4064493,1.6753279,3.128096,3.458685,2.2634723,2.3779798
27,1.4761591,1.7880692,1.7504367,3.4212792,3.0592194,4.064887,2.991343,2.510062
28,1.0199738,1.685873,1.9620929,4.1951704,2.412149,2.0760872,2.9534435,1.1681912
29,2.284347,2.2792344,4.6356497,3.343117,2.935896,1.8910382,3.683391,2.050798
30,1.9916353,2.828392,4.0685134,3.8553495,2.767203,2.6467931,2.4556322,2.1156757
31,2.28622,2.8953495,5.792938,3.1892416,4.8549805,3.4577577,3.9111724,3.3520417
32,3.331542,1.9993829,3.4600582,3.817753,2.2734985,1.7915862,2.5342205,4.1807604
33,2.0310788,1.6538005,3.160432,3.411017,2.9301386,3.2168932,1.6473215,3.7826552
34,1.159313,1.1788645,1.6218128,1.2391889,0.9368383,1.6136477,0.8388523,3.064393
35,1.76509,1.496372,1.8780518,1.7775768,4.5035567,1.8002892,2.7805758,1.7152569
36,1.9633813,1.4423358,2.889003,1.3686385,3.7178023,1.5555403,1.6240674,1.3284632
37,2.4576497,1.784163,3.5304658,1.913145,3.488717,3.2658608,1.748254,1.5699725
38,1.629417,1.6352904,1.7494063,1.0662338,1.7434338,3.007089,2.4730194,2.2532728
39,2.5892239,3.3956337,2.3307407,1.8174899,3.2915337,3.1605878,2.3971977,1.6230645
40,0.9714969,1.3626894,1.0097016,1.0760323,3.4377222,1.8055602,1.0604358,0.80678785
41,1.1170356,1.7012944,1.8925322,1.0379622,1.2177604,2.187941,1.0664687,1.0404434
42,1.7939751,2.1477406,2.1454039,0.8706194,0.8683857,3.9273717,2.946517,1.7855716
43,2.298965,2.814642,5.275518,2.1257243,2.454338,2.8303466,2.127081,2.6837559
44,3.1923962,4.7310934,3.2133331,3.1972022,2.4542515,2.5554433,1.7868422,2.8034015
45,1.8824961,1.322379,2.1098006,2.3199928,1.7783555,1.4707084,0.9498597,1.7442294
46,2.14218,1.3203518,1.4098148,2.2748532,1.3167067,1.2202383,0.849671,2.6557417
47,1.869137,2.2008395,2.1387634,2.1139765,2.6851633,3.9356081,1.262466,2.7412536
48,6.1672935,5.036478,5.3683867,6.133419,3.1997027,4.4003677,2.357328,4.302411
49,2.8719342,3.1609945,2.7344747,3.5101752,1.9272518,2.927142,2.8779943,2.8541806
50,1.5033288,2.1361876,3.4579682,2.304024,3.062501,3.8284423,3.1864228,2.0761163
51,1.833278,1.4049866,3.1200488,2.1904902,2.3179135,2.7531857,5.6392593,3.8025663
52,2.0903897,1.6864109,1.4859596,1.6805409,2.1657352,5.83791,2.4257689,1.4713385
53,2.386566,2.1141863,1.429779,1.2429438,1.315306,3.4730227,1.2126393,1.3744721
54,3.5287998,1.4340789,1.7926306,1.3060415,1.5645164,0.92725277,0.80226153,1.4625156
55,3.7125866,1.3995817,1.438736,1.1707447,1.1380417,1.1540477,1.2916291,1.1018267
56,1.3271769,1.0735937,2.284186,1.1142836,1.3032291,1.6106515,1.7581186,1.4152435
57,2.95325,2.0447502,4.368206,2.9979,3.8439193,4.4136367,4.0765347,3.5096064
58,2.193342,3.3020039,3.7409348,1.8443377,4.3113728,6.4150515,3.1705246,2.8924284
59,2.5768645,4.617504,5.3163013,5.4171,2.3874316,4.0856524,3.7239876,2.231899
60,3.823886,5.373862,4.396533,5.13312,3.2982783,2.7315862,3.198306,3.9533348
61,3.8313684,2.6137338,2.4814813,3.4472337,2.7127604,2.0297775,2.5256574,1.8425889
62,2.7733526,2.9186783,4.5975637,4.0435367,4.112561,3.4634395,2.2759662,3.0804672
63,2.5475283,1.7568774,3.417335,2.98393,3.8423402,2.5245128,1.9972061,2.7623332
64,2.2716095,1.1745713,1.2982745,1.1624476,1.4666817,2.0916429,0.7285532,1.1376247
65,1.6238873,0.97106797,0.9853359,1.9048605,3.925858,2.0575478,0.5141882,0.7399919
66,1.123015,1.3269696,1.0400983,2.1312094,4.080982,1.7760488,0.73428726,0.8232565
67,4.4425497,3.2966282,3.007123,3.4781842,4.016593,4.141879,2.7544522,4.188078
68,2.8076057,5.595085,4.6609545,5.1276565,4.3634896,5.237352,2.5312042,2.8661356
69,5.452651,3.7025318,4.0274715,4.8623457,4.44919,5.797571,3.48456,3.0251222
70,2.851569,4.155108,4.3618283,1.778642,4.9243784,6.7341595,6.025693,4.4016314
71,4.937706,2.9741406,3.5815988,3.0453663,2.424219,3.6531975,1.8968056,3.2248263
72,5.668495,3.2392716,4.596705,3.5778565,2.170402,3.7365124,3.170901,4.362773
73,4.6529922,4.8206005,6.586012,4.902331,5.288377,3.1391613,3.6704345,4.3146977
74,3.514176,3.1258512,3.5749373,2.6033494,2.9991775,3.3597069,3.3574798,3.322545
