frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.17888504,0.33864248,0.04382743,0.3477961,0.10672941,0.33498442,0.19023483,0.032615
1,0.46384478,0.33373997,0.30414158,0.46291932,0.2876277,0.3302061,0.29569876,0.18386345
2,0.3433869,0.3120348,0.25202638,0.45178616,0.29815832,0.32375255,0.2730076,0.1763899
3,0.33967617,0.36578053,0.5230737,0.23922151,0.3218699,0.378567,0.04294303,0.24478191
4,0.38538277,0.31687573,0.76426977,0.31253272,0.58692837,0.4924922,0.1984875,0.2093504
5,0.24539366,0.27657372,0.51389915,0.3018963,0.4901596,0.32390964,0.34564492,0.2983885
6,0.35352823,0.5356642,0.3840739,0.3501562,0.5345815,0.24980907,0.42221698,0.33953014
7,0.29207182,0.43276042,0.46509072,0.36183238,0.2736972,0.38670698,0.23235887,0.47147396
8,0.28856197,0.47155106,0.76495683,0.17646489,0.6001135,0.32129148,0.41005746,0.41075262
9,0.31983244,0.36920863,0.5695771,0.48033902,0.2556192,0.263024,0.45526528,0.3469184
10,0.34079465,0.27168497,0.37118527,0.3613241,0.3421968,0.22701459,0.20039932,0.2699939
11,0.34735093,0.16184956,0.24419056,0.24379268,0.33406335,0.20450507,0.16400361,0.1351573
12,0.19994925,0.13265069,0.1328258,0.18287446,0.07551653,0.031087866,0.13134684,0.111024834
13,0.4549377,0.21112329,0.31664371,0.37787288,0.43844447,0.2313263,0.26901773,0.35789913
14,0.46247452,0.31269625,0.3956572,0.49192184,0.31220037,0.40387234,0.4356106,0.32739216
15,0.2461641,0.46583062,0.45656994,0.40821382,0.31942466,0.39771655,0.57370454,0.3828487
16,0.12425973,0.4464423,0.25300866,0.06738821,0.21369414,0.26360708,0.19838004,0.35952386
17,0.018560706,0.48084125,0.3671658,0.0,0.30575955,0.09183792,0.15387407,0.9999999
18,0.15578535,0.10423487,0.09668211,0.13603641,0.23517236,0.29207274,0.31563333,0.24168414
19,0.05052338,0.04775219,0.13597766,0.16451031,0.25725457,0.14626233,0.1930883,0.1271973
