frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,3.028604,4.67838,3.6931686,3.8238106,4.1719346,2.3765469,2.6156073,4.158766
1,3.5314558,4.708143,3.059431,4.258691,4.307421,3.9049375,4.00358,2.7980564
2,4.146278,4.110713,3.2380743,3.2491832,2.6257708,3.5775926,2.3323908,2.2750773
3,2.182522,4.97103,2.449314,4.372072,2.6855192,5.6223083,2.8249955,4.328063
4,4.179331,3.8980992,3.319456,3.6658595,2.8098838,3.5235639,2.2803607,3.2613716
5,3.9873853,4.273814,5.0263233,3.0191317,3.8785155,4.6444726,5.0585175,4.71632
6,3.8105125,2.0679715,3.5517597,2.5352209,1.4860954,4.8100357,3.430748,3.3585799
7,3.384282,4.864333,4.374547,3.8738494,2.8316226,5.541724,1.9495893,5.849303
8,3.8127005,3.3028133,3.2728338,3.2427824,2.3085675,4.604822,2.8230047,5.5817647
9,4.408845,4.592762,5.1077,5.510207,4.252897,4.5782595,3.1105003,5.6672754
10,3.2195337,5.3067803,4.208922,4.0233517,3.114511,3.140954,2.6652608,3.7531416
11,4.652423,3.3768928,3.3185022,2.1040456,1.8832035,3.122242,1.2679269,5.896995
12,4.3069353,5.6638465,5.93398,5.5724983,4.639926,4.813601,3.1874478,2.805325
13,4.187573,3.1569285,3.022264,2.570327,3.6591578,5.0705113,2.5568743,3.7095954
14,3.491238,4.725889,6.0650835,4.3226814,3.0046916,3.5671422,4.624982,3.6086946
15,3.85961,5.474043,4.2593746,3.5726504,2.618619,3.044746,2.3027163,4.580557
16,3.895388,5.0068045,5.210915,4.2254033,3.6214266,3.8558664,3.952312,3.301011
17,3.1568942,4.648447,4.8913736,3.3550546,2.5730999,2.9489822,2.3119848,2.951391
18,2.3052053,2.7347813,4.6197524,1.5520251,1.2980306,2.2623425,1.8616877,2.0624914
19,2.2987127,5.132457,2.9977598,3.4619126,2.7291613,4.170706,4.8328342,5.3222046
20,1.7254612,3.3307102,2.804029,3.0941164,1.8145788,4.8712273,1.7872933,2.601326
21,3.1290607,2.8042383,3.416388,3.4127498,2.2326956,4.0023794,2.5507967,2.0023992
22,2.3902812,4.0575128,3.7258139,2.817634,3.4461908,3.8193269,3.7787142,3.5527263
23,2.413649,1.3746686,3.217634,2.0830548,3.559565,3.8539002,1.9420967,1.9482522
24,1.2022309,2.83094,2.140696,3.5306106,2.8971834,1.3251109,1.5747828,1.324034
25,1.1182669,2.023954,3.050496,4.6167307,3.1512685,5.8276024,1.9241865,1.0158021
26,1.7571282,2.688217,2.9293666,2.8116307,3.096683,6.658183,2.2872505,1.7334536
27,3.0951347,3.6228495,2.1564894,1.7208753,2.445309,4.0566034,2.893836,2.599291
28,1.9694822,3.5659385,3.643807,1.6150043,3.0351276,4.136864,3.364849,2.3157637
29,1.8922193,2.07091,4.2675905,1.9300245,2.7808347,3.0694485,1.9397552,2.0619733
30,2.4109035,3.0258703,4.087493,2.205232,3.4260514,2.1417165,3.7114944,2.4932146
