frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,1.0676587,0.8150089,2.1767392,0.7202662,0.66659194,0.56931597,0.39654094,1.4561415
1,1.6742814,1.1485465,2.9844563,3.3815956,2.6862543,2.7153065,2.755476,5.5065527
2,1.9011519,1.5046072,6.555438,3.856945,1.8891046,3.0207686,2.6471267,3.0343285
3,2.6871169,1.7252563,2.8349133,3.8051229,1.2610791,2.1582093,2.3373308,2.4528508
4,0.94484067,2.8084078,0.5784426,1.6493134,0.4469633,0.40405458,0.47346905,0.78811336
5,2.5214639,6.1137815,1.1032078,2.5937624,1.0984336,2.1039133,1.2085531,1.9511125
6,1.6686971,2.150465,2.180138,4.0851164,3.934423,3.415686,2.1580787,4.0334697
7,2.2009215,3.511457,1.1855426,1.3837227,1.1946824,1.1706375,1.9378239,2.9338794
8,0.7976223,1.8189986,0.44195879,0.43784907,1.5863063,1.2838562,0.7158091,0.77175367
9,2.1963737,2.157998,0.9086375,2.7282972,1.418137,0.8871076,1.105551,1.2670531
10,2.0833235,3.569906,1.4968593,2.1779141,3.0237403,1.577229,1.6846577,2.7133229
11,4.3184166,3.9795535,2.5096273,2.8800857,3.2284493,2.7135763,4.3947525,1.8699157
12,1.918416,1.8245637,0.90397906,0.7594108,1.1059704,1.7453886,3.2459564,1.452841
13,2.360104,3.4108014,1.8793839,1.8645668,1.0103924,2.050167,2.5713663,1.7546093
14,3.1440794,2.7181892,1.7064323,1.7980394,1.2326064,2.072054,3.4043136,2.2108188
15,1.6614643,3.0932007,1.6625571,1.3224909,1.7522591,1.9692844,4.1819468,2.5728328
16,3.3322084,3.993206,1.7722759,1.3448086,2.0515642,1.1850374,3.9212365,2.6771698
17,1.3923757,1.5343543,0.8154292,1.3178983,1.1460023,0.6588734,1.3993802,2.0942857
18,3.559636,5.4695954,2.034443,3.329537,2.8545165,1.8885989,4.566146,2.9466972
19,3.7672694,3.532789,5.108339,3.411622,3.9853382,4.664077,4.2714224,3.4253156
20,5.409725,4.2102604,2.9804797,3.2770429,2.7524686,2.2337685,6.113587,3.477734
21,3.7252684,4.166233,2.6326177,3.629324,2.5497236,3.9478812,3.1842957,3.2746825
22,1.677691,1.2959483,2.5702434,1.9120328,0.63243234,0.983095,1.2874682,1.5473403
23,1.6779922,2.9689121,0.9380395,1.9152825,0.8646641,1.256515,3.000197,1.5376654
24,2.0147443,2.4210358,1.0124345,1.721329,1.0893226,0.560091,3.0437617,0.8790196
25,2.5238461,2.5620148,3.7774158,3.8285146,1.4357128,1.8625214,4.5444927,3.6236713
