frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,1.4017522,1.915491,0.38431525,0.46957833,0.66715026,0.4549171,0.5322869,0.2078672
1,1.2772619,1.7261235,0.4087442,0.43825066,0.65487564,0.8965423,0.9664341,0.5409564
2,2.2908056,2.0737906,0.43182296,0.53283155,0.48563537,0.76022017,0.6369186,0.5522294
3,0.5879212,2.1718569,0.35153827,0.52810645,0.51116455,0.61636806,0.3379184,0.68192637
4,0.76701653,1.1836525,1.0685279,0.30926025,0.70604235,0.3580203,0.5730582,0.9328846
5,1.4687186,1.4727795,0.7994504,1.0079476,1.5766764,3.0321655,2.216401,1.0988467
6,4.2865095,2.8065484,1.3063483,2.5066857,2.1539454,1.9915607,1.9008301,1.3067222
7,2.3715882,2.21305,1.2005455,1.4167129,2.7525804,0.8188203,1.3280911,1.5308933
8,2.2193627,2.9198108,1.8873718,2.200412,3.7110546,1.8762426,2.0949664,2.1401813
9,2.6815891,1.5911748,0.73694885,0.49015757,2.4272768,1.9223009,2.3213806,1.9581093
10,1.5651984,2.4883657,0.7388567,1.9623165,2.1581082,1.3554456,1.5672804,1.54955
11,3.2928543,2.9630647,0.8533653,2.4168105,3.1692176,2.0300639,3.8876014,0.919626
12,0.96183234,0.9448148,0.78014225,1.6153021,2.2641325,1.3009007,1.7573519,2.1734362
13,3.7997866,1.9400487,1.0160644,1.460633,2.4230065,0.96421885,3.1082766,1.3344294
14,1.6091025,4.848852,0.9520291,1.3321633,1.3613178,4.7615623,2.3992517,1.1303599
15,1.2423456,1.7357185,0.49257797,1.2201369,1.8687116,6.8854136,1.3191322,2.1266632
16,2.4840174,6.1669555,1.4756753,2.35256,1.3048708,2.1544545,2.277934,3.1293054
17,4.6865396,3.0675635,2.0074582,1.9606993,2.5799675,3.3218186,1.5614419,1.548553
18,2.0797777,2.2565694,1.3261402,1.3599571,1.4552927,2.3362207,1.9627808,1.2278465
19,3.9294298,3.3201227,1.1707468,1.4790056,1.732427,1.9955317,2.8564043,2.7789428
20,2.4920387,3.6756024,2.189899,1.3252625,2.5203424,4.0244303,1.2587794,1.649272
21,2.8084936,3.7949128,1.1164556,1.2046952,2.9663908,2.3797812,2.2316537,2.0700135
22,5.225039,2.5587957,1.2656841,1.968571,2.7770095,1.1636696,2.8667264,2.2892108
23,2.5835326,2.3449817,0.90397215,0.91798747,2.8117826,1.9351708,3.4514692,3.5410798
24,3.7749124,4.728739,1.8561671,2.5117495,2.9099941,3.786477,2.3634324,2.7017133
25,3.2906923,2.8325982,2.5426984,2.0214734,4.5434666,2.2907429,4.391739,3.652916
26,1.6381476,1.4158003,1.0509384,1.4638786,2.5954018,1.2725581,3.541128,3.270151
27,1.5652869,1.5699048,1.2539388,1.5630361,2.4322023,2.838402,2.2656507,1.9683745
28,2.063733,2.711071,2.0595956,1.5397179,2.3807354,1.03918,2.525693,2.5946615
29,1.093708,1.1733799,0.95156634,0.9096054,1.8549374,1.9291738,2.215279,2.4132838
30,3.0442524,2.3059225,2.69558,4.4385843,3.0512433,4.007641,5.1374965,6.88285
31,1.7367191,1.8519874,2.532837,2.1982539,6.107482,2.833942,2.4012823,2.8686476
32,2.2919295,2.074583,1.8668722,2.9551594,3.7453265,2.317655,2.633943,2.7854316
33,1.3237476,1.5197917,1.249815,2.9993758,2.7072172,1.3168926,1.8795502,2.3471787
34,2.4082808,1.6944666,1.4181494,1.4569454,3.9445305,2.9076746,3.064722,3.6282616
35,1.9992754,2.180843,1.7611233,1.5344739,3.629654,1.3386209,2.6575334,2.3559713
36,1.2708836,2.0341225,0.9607681,0.8998122,2.2470052,2.1783054,1.7603354,1.3436737
37,2.5525818,1.8240731,2.0638807,2.336594,3.241301,4.8443418,2.6294246,3.1853158
38,2.0912724,1.7965786,1.6378835,3.2381217,2.9592898,2.7763975,3.2361012,3.6243677
39,2.4695916,2.2099144,4.10999,3.3348844,3.6974428,3.3884172,4.8139973,5.6905565
40,2.671402,2.8238106,1.6170352,3.5385528,2.1248956,2.287314,2.4239492,1.5897517
41,3.1213293,2.3072453,1.859105,1.848139,2.2987618,3.3955407,2.492355,2.6837935
42,2.088104,1.967209,1.1794918,1.7909889,2.017785,0.9170687,1.4760782,2.5015807
