frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,1.6233528,1.4785941,2.916668,1.5165987,2.0770075,1.726021,1.5769612,1.8823986
1,0.7513392,1.352076,2.344318,0.9200195,2.2784178,2.2060666,0.8984741,2.0854425
2,1.7634845,2.3419368,1.4948158,1.4838014,3.3058913,2.9702325,1.3576534,2.5706077
3,2.3148031,2.0092921,1.8768682,1.8551396,1.8794363,2.2892427,1.7604967,2.7318976
4,1.520293,1.8191106,2.380673,1.547682,2.6160593,1.6771097,1.5514348,2.9853268
5,2.4747536,1.0626225,2.584013,2.8720334,2.138989,2.7195272,2.6257796,2.148775
6,2.254459,2.2983346,3.1840587,1.9995189,2.8649101,2.7402894,2.0162978,3.1874309
7,2.7042556,2.9466224,3.3994756,3.0485716,3.500546,2.5400825,1.2341176,3.4279685
8,2.3489993,2.749463,3.652843,2.0100157,3.9743361,2.8689065,1.2561347,2.3264751
9,1.9379795,2.2966738,3.9661727,1.9252088,2.6637483,3.4847488,2.4491394,2.896761
10,1.3256248,0.9862422,1.3615682,0.98724234,4.419813,2.7822914,1.9365551,1.4645137
11,2.145393,4.116168,2.3046517,2.286919,3.7906723,4.3258963,3.008584,2.0118775
12,2.285936,3.1298437,2.640264,1.6037574,5.6200647,3.450399,3.51555,2.4453087
13,2.253457,1.3843087,2.5913577,2.2093887,1.5514458,1.4458065,1.294339,1.9211569
14,2.1500962,1.1915195,1.94793,2.1279593,1.6168398,1.611259,1.7433363,2.4074779
15,2.1901684,1.4397476,1.4552994,1.5504658,1.578627,1.9326336,1.4799372,1.7828236
16,3.3231182,3.121898,3.850079,4.1413717,3.1237264,3.436667,2.4241536,3.2025871
17,1.6314131,1.0936574,3.0300775,2.502946,1.0238616,1.1858776,0.88145965,2.3534827
18,0.83352816,0.614469,1.180201,1.0564295,1.0326977,0.6418452,1.4020274,0.691617
19,1.2513254,2.1123652,1.0359312,0.80052316,1.2462136,1.5187453,1.7366259,0.81377006
20,0.82076395,1.9528145,0.92603457,0.7601454,1.2519424,0.78536004,0.8980458,1.8246012
21,3.0478008,3.1146774,2.3170118,2.0074391,3.3153174,2.8646903,3.4760542,3.4743905
22,2.8055987,3.1067586,2.6298792,1.9530227,4.862979,2.049925,4.2186346,4.470875
23,1.610476,1.6526096,1.8615768,2.438786,3.1687517,2.1571193,1.9061708,2.2002826
24,2.9441051,2.753905,3.043894,3.7336369,3.8036826,2.5530305,3.4697104,2.345943
25,1.0881821,1.3365415,2.9527383,1.9378444,3.412752,0.9419792,2.1251097,2.6900752
26,3.5429907,2.11555,4.1710663,3.4654384,2.2350435,3.1590145,3.147559,3.898965
27,3.1169887,1.354179,3.9499855,3.1820421,2.4038968,1.8350947,2.3995552,3.6710157
28,2.784954,0.9780834,4.547315,3.1100783,2.6431136,1.4804072,2.8332903,3.3966389
29,3.103602,0.94842315,3.5518146,2.9426737,2.186252,1.5814466,2.2496557,3.288569
30,2.0136178,1.1084069,3.1966882,2.7376876,1.7754605,1.3343585,2.6228654,3.6211782
31,2.4758558,1.0679666,2.413437,1.8830526,1.4873757,1.105155,2.198494,1.6135986
32,1.6047564,1.9692427,2.751114,1.8184783,2.6566503,2.3656611,1.2552325,2.284321
33,3.2326093,3.5162249,2.2514958,1.9130263,3.858964,3.2232287,2.7750924,3.7054534
34,2.885269,2.6692395,3.3136654,2.1548295,2.7480326,1.665309,2.4788065,3.8751197
35,2.0107358,3.286756,1.942462,1.2829294,4.647242,3.310172,3.7482686,3.3432045
36,1.2168429,1.7111737,2.1212125,1.7473277,1.8286636,1.330379,1.6591992,1.924089
37,1.4047825,2.397713,2.1481118,1.2506299,1.4395869,1.975805,2.232313,1.84885
38,1.384625,3.3333929,1.3332772,1.7353104,1.7103175,1.6282332,1.9463245,1.9678981
39,1.7596138,1.3266416,1.9165691,1.301945,1.6034396,1.647279,2.1313825,2.4772682
40,0.55594105,0.8246108,0.88623047,0.82769585,1.578093,0.888356,1.0636673,1.4209208
41,2.0447538,1.308959,1.6580487,1.3431811,2.4082599,1.9465265,2.7026772,1.4603064
42,1.0515355,1.8917446,1.6336688,0.9524882,3.7825303,1.9319255,1.1145489,2.9978313
43,2.1988401,1.4577764,1.9379047,1.351105,3.054839,2.4707417,1.2882092,2.114771
44,1.3348007,1.6440313,1.5527446,1.5195584,1.7420683,1.3970234,1.3721457,1.9765471
45,3.1075416,1.0312152,2.8070579,2.1451101,1.8368839,1.5218728,2.0005646,2.7084825
46,1.2778072,1.3803751,2.0955744,1.6032531,3.2436287,1.7150652,1.4006093,1.6197497
47,2.2614377,3.6925597,2.904583,2.1349182,4.9624085,3.3041806,2.3741994,2.5118306
48,2.9395459,1.8900306,2.7215223,2.4660065,2.955593,2.197023,1.9794474,2.468217
49,1.5931164,1.7881263,3.0638165,0.9810878,2.102386,1.3429741,1.8166279,2.349176
50,1.7874633,2.5522223,3.874444,1.6538858,2.7147574,1.6802137,2.3668923,2.8607054
51,2.6227024,1.7732542,3.393365,1.7468956,4.118858,0.9936881,1.4552274,3.0906734
52,1.4633561,1.3529866,2.3582306,1.2791965,2.7133842,1.7539876,1.2071322,1.4784095
53,1.922783,2.167893,4.003532,2.8572047,3.4671261,1.5656118,1.8677657,2.2295184
54,1.7239858,1.6018007,2.8674607,2.2602048,3.4405928,3.531786,2.1680846,3.5906346
55,3.0065088,4.832781,3.2655895,2.9517267,5.584323,3.794621,3.1782398,3.8578253
56,3.1209242,3.222166,4.1708536,3.437004,2.224228,3.4225802,2.2157898,3.7089853
57,3.2326117,2.5972512,2.128994,2.4002452,2.1024275,2.820502,1.8050022,1.6070745
58,3.2643185,1.6034656,2.4891784,1.9280412,3.5068877,1.4969153,3.3814774,2.5344684
59,2.092698,2.3486123,2.3756833,1.7941828,2.4803824,3.6515656,0.9563217,3.152313
60,2.150918,2.0543008,1.3254526,1.705441,2.7406902,3.0464134,1.692868,2.9846172
61,5.5471683,1.273227,3.8175135,2.782217,2.1679997,1.9728024,2.3011577,2.5252728
62,3.4144042,3.5753636,3.1311219,2.2127335,3.5165129,2.652083,2.1638489,2.3932915
63,2.519981,3.4506202,2.6343055,1.9422674,3.311996,2.4419208,1.7734199,1.9257274
64,1.8401656,3.5026608,3.1880965,1.5510451,2.9452844,2.962315,2.4750772,5.5561743
65,0.6225801,0.42732546,0.69592124,1.1338047,0.73344123,0.61987674,0.4042412,0.51176584
66,1.8276292,1.9555271,2.7096367,1.6480875,3.8342695,2.0533729,1.903295,3.6085498
67,2.0055876,1.4856821,2.0675733,1.3548783,1.846223,0.8624787,1.6424377,5.234816
68,0.34766656,0.72961605,0.8103174,1.1410065,0.5264592,0.6114837,0.7033465,0.41627318
69,1.4396292,1.3527664,1.7232647,1.0549097,0.9532058,1.0368036,1.284265,2.3995242
70,4.074076,3.7679973,3.6455598,3.1930206,3.6021366,3.7105947,3.3941407,4.165057
71,3.6292593,3.5834231,2.058453,4.907127,3.8932428,4.222139,3.1738534,4.4909363
72,1.3330638,1.4414146,2.4203763,0.8777375,1.3390574,1.8350813,1.4083838,2.845368
73,3.0067005,3.53709,3.0830455,3.5025802,3.4963727,2.3686273,2.089824,3.709934
74,1.4487877,2.791874,1.2382853,1.5890448,3.9003906,3.1095333,3.506084,2.2914233
